09-08-2022 @ 16:08:12 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:08:22 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:08:22 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:08:33 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:08:33 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:11:38 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:11:38 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:11:49 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:11:49 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:11:58 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:12:00 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:12:06 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:12:12 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:12:29 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:12:36 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:12:48 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:12:55 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:14:14 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:14:14 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:14:18 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:16:45 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:16:45 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:17:06 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:17:06 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:17:09 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:17:09 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:17:20 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:17:20 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:17:29 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:18:14 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:18:14 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:18:31 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:18:37 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:19:33 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:19:49 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:23:07 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:23:07 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:23:12 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:23:59 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:23:59 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:24:03 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:24:03 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:24:10 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:24:12 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:24:12 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:24:14 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:24:19 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:24:30 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:24:30 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:24:33 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:24:33 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:24:37 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:40:26 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:40:26 - [is_available]: NO HTTPS, Custom unavailable.
09-08-2022 @ 16:40:31 - [is_available]: NO HTTPS, Custom unavailable.
